index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,382.92,0,0.0,0,-1,382.92,-1
4,4,56.521,111.9875,1,0.4,1,6,45.0,3
7,7,57.771,131.861,1,0.3,1,6,88.75,5
11,11,61.021,197.606,1,0.3,1,6,132.5,8
14,14,74.771,166.1125,1,0.4,1,6,83.75,11
19,19,93.771,141.87,1,0.4,1,6,38.75,15
21,21,88.021,197.1075,1,0.5,1,6,112.5,11
22,22,106.521,134.3035,1,0.5,1,6,30.0,8
24,24,106.3766,204.991,1,0.5,1,6,82.1444,11
25,25,101.521,201.8785,1,0.3,1,6,90.0,5
28,28,125.521,164.346,1,0.4,1,6,10.0,11
29,29,129.771,169.3575,1,0.4,1,6,28.75,5
33,33,134.771,211.5635,1,0.4,1,6,53.75,3
36,36,147.271,195.906,1,0.3,1,6,46.25,11
38,38,155.771,229.5225,1,0.3,1,6,58.75,15
49,49,228.021,257.297,1,0.3,1,6,17.5,8
53,53,231.021,271.938,1,0.6,1,6,17.5,11
54,54,226.271,288.965,1,0.4,1,6,51.25,15
62,62,255.521,285.637,1,0.5,1,6,10.0,3
63,63,243.771,317.226,1,0.4,1,6,83.75,5
66,66,259.271,304.5585,1,0.5,1,6,26.25,8
70,70,275.771,321.312,1,0.6,1,6,23.75,5
71,71,274.021,330.095,1,0.3,1,6,32.5,11
74,74,284.271,310.0375,1,0.6,1,6,21.25,3
78,78,290.271,344.626,1,0.6,1,6,56.25,8
79,79,307.271,338.3585,1,0.6,1,6,16.25,15
84,84,102.521,132.521,-1,-0.4,1,6,45.0,3
87,87,147.521,177.521,-1,-0.3,1,6,88.75,5
91,91,194.521,224.521,-1,-0.3,1,6,132.5,8
94,94,159.521,189.521,-1,-0.4,1,6,83.75,11
99,99,133.521,163.521,-1,-0.4,1,6,38.75,15
101,101,201.521,231.521,-1,-0.5,1,6,112.5,11
102,102,137.521,167.521,-1,-0.5,1,6,30.0,8
104,104,189.521,219.521,-1,-0.5,1,6,82.1444,11
105,105,192.521,222.521,-1,-0.3,1,6,90.0,5
108,108,136.521,166.521,-1,-0.4,1,6,10.0,11
109,109,159.521,189.521,-1,-0.4,1,6,28.75,5
113,113,189.521,219.521,-1,-0.4,1,6,53.75,3
116,116,194.521,224.521,-1,-0.3,1,6,46.25,11
118,118,215.521,245.521,-1,-0.3,1,6,58.75,15
129,129,246.521,276.521,-1,-0.3,1,6,17.5,8
133,133,249.521,279.521,-1,-0.6,1,6,17.5,11
134,134,278.521,308.521,-1,-0.4,1,6,51.25,15
142,142,266.521,296.521,-1,-0.5,1,6,10.0,3
143,143,328.521,358.521,-1,-0.4,1,6,83.75,5
146,146,286.521,316.521,-1,-0.5,1,6,26.25,8
150,150,300.521,330.521,-1,-0.6,1,6,23.75,5
151,151,307.521,337.521,-1,-0.3,1,6,32.5,11
154,154,306.521,336.521,-1,-0.6,1,6,21.25,3
158,158,347.521,377.521,-1,-0.6,1,6,56.25,8
159,159,324.521,354.521,-1,-0.6,1,6,16.25,15
161,161,0.0,382.92,0,0.0,0,-1,382.92,-1
