index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,427.371,0,0.0,0,-1,427.371,-1
2,2,22.35,52.35,1,0.5,1,6,95.0,1
4,4,39.35,69.35,1,0.4,1,6,58.75,1
6,6,50.35,80.35,1,0.5,1,6,80.0,3
7,7,51.35,81.35,1,0.5,1,6,10.0,4
8,8,52.35,82.35,1,0.5,1,6,57.5,3
11,11,59.35,89.35,1,0.5,1,6,12.5,1
15,15,68.35,98.35,1,0.5,1,6,18.75,9
18,18,87.35,117.35,1,0.4,1,6,48.75,4
24,24,114.35,144.35,1,0.5,1,6,56.25,3
27,27,124.35,154.35,1,0.5,1,6,88.75,1
28,28,127.35,157.35,1,0.3,1,6,38.75,9
39,39,157.35,187.35,1,0.3,1,6,87.5,4
45,45,176.35,206.35,1,0.6,1,6,57.5,3
50,50,184.35,214.35,1,0.3,1,6,168.75,4
58,58,198.35,228.35,1,0.6,1,6,93.75,9
61,61,202.35,232.35,1,0.6,1,6,50.0,1
64,64,213.35,243.35,1,0.6,1,6,21.25,9
73,73,256.35,286.35,1,0.4,1,6,26.25,1
77,77,298.35,328.35,1,0.3,1,6,66.25,1
80,80,308.35,338.35,1,0.3,1,6,57.5,9
82,82,37.639,148.35,-1,-0.5,1,6,95.0,1
84,84,47.366,129.1,-1,-0.4,1,6,58.75,1
86,86,56.8565,161.35,-1,-0.5,1,6,80.0,3
87,87,59.3525,92.35,-1,-0.5,1,6,10.0,4
88,88,85.534,140.85,-1,-0.5,1,6,57.5,3
91,91,63.6585,102.85,-1,-0.5,1,6,12.5,1
95,95,76.9185,118.1,-1,-0.5,1,6,18.75,9
98,98,126.045,167.1,-1,-0.4,1,6,48.75,4
104,104,125.7665,201.6,-1,-0.5,1,6,56.25,3
107,107,149.7725,244.1,-1,-0.5,1,6,88.75,1
108,108,147.781,197.1,-1,-0.3,1,6,38.75,9
119,119,179.9155,275.85,-1,-0.3,1,6,87.5,4
125,125,193.6425,264.85,-1,-0.6,1,6,57.5,3
130,130,215.1515,384.1,-1,-0.3,1,6,168.75,4
138,138,224.8335,323.1,-1,-0.6,1,6,93.75,9
141,141,225.049,283.35,-1,-0.6,1,6,50.0,1
144,144,222.559,265.6,-1,-0.6,1,6,21.25,9
153,153,264.6965,313.6,-1,-0.4,1,6,26.25,1
157,157,340.43,395.6,-1,-0.3,1,6,66.25,1
160,160,321.796,396.85,-1,-0.3,1,6,57.5,9
161,161,0.0,427.371,0,0.0,0,-1,427.371,-1
