index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,427.371,0,0.0,0,-1,427.371,-1
2,2,22.35,52.35,1,0.5,1,6,95.0,1
3,3,25.35,55.35,1,0.5,1,6,51.25,2
4,4,39.35,69.35,1,0.4,1,6,58.75,1
6,6,50.35,80.35,1,0.5,1,6,80.0,3
7,7,51.35,81.35,1,0.5,1,6,10.0,4
8,8,52.35,82.35,1,0.5,1,6,57.5,3
9,9,52.35,82.35,1,0.4,1,6,12.5,5
11,11,59.35,89.35,1,0.5,1,6,12.5,1
12,12,63.35,93.35,1,0.4,1,6,68.75,7
13,13,65.35,95.35,1,0.5,1,6,10.0,8
15,15,68.35,98.35,1,0.5,1,6,18.75,9
16,16,75.35,105.35,1,0.5,1,6,52.5,5
17,17,83.35,113.35,1,0.5,1,6,77.5,10
18,18,87.35,117.35,1,0.4,1,6,48.75,4
19,19,104.35,134.35,1,0.5,1,6,72.5,2
20,20,107.35,137.35,1,0.4,1,6,72.5,8
22,22,113.35,143.35,1,0.5,1,6,20.0,8
23,23,113.35,143.35,1,0.5,1,6,10.0,11
24,24,114.35,144.35,1,0.5,1,6,56.25,3
25,25,116.35,146.35,1,0.4,1,6,60.0,8
26,26,121.35,151.35,1,0.4,1,6,61.25,10
27,27,124.35,154.35,1,0.5,1,6,88.75,1
28,28,127.35,157.35,1,0.3,1,6,38.75,9
33,33,134.35,164.35,1,0.4,1,6,33.75,10
34,34,140.35,170.35,1,0.3,1,6,87.5,11
35,35,141.35,171.35,1,0.2,1,6,26.25,11
36,36,148.35,178.35,1,0.5,1,6,105.0,7
37,37,153.35,183.35,1,0.3,1,6,185.0,5
39,39,157.35,187.35,1,0.3,1,6,87.5,4
40,40,162.35,192.35,1,0.4,1,6,36.25,2
43,43,170.35,200.35,1,0.2,1,6,63.75,5
45,45,176.35,206.35,1,0.6,1,6,57.5,3
46,46,177.35,207.35,1,0.4,1,6,42.5,7
50,50,184.35,214.35,1,0.3,1,6,168.75,4
52,52,187.35,217.35,1,0.3,1,6,27.5,18
54,54,187.35,217.35,1,0.3,1,6,62.5,8
57,57,198.35,228.35,1,0.5,1,6,12.5,20
58,58,198.35,228.35,1,0.6,1,6,93.75,9
61,61,202.35,232.35,1,0.6,1,6,50.0,1
62,62,202.35,232.35,1,0.5,1,6,70.0,10
64,64,213.35,243.35,1,0.6,1,6,21.25,9
65,65,214.35,244.35,1,0.5,1,6,32.5,2
68,68,237.35,267.35,1,0.5,1,6,60.0,11
70,70,248.35,278.35,1,0.3,1,6,11.25,20
72,72,252.35,282.35,1,0.6,1,6,45.0,7
73,73,256.35,286.35,1,0.4,1,6,26.25,1
75,75,268.35,298.35,1,0.5,1,6,17.5,2
76,76,270.35,300.35,1,0.5,1,6,16.25,11
77,77,298.35,328.35,1,0.3,1,6,66.25,1
80,80,308.35,338.35,1,0.3,1,6,57.5,9
82,82,37.639,148.35,-1,-0.5,1,6,95.0,1
83,83,43.17,107.6,-1,-0.5,1,6,51.25,2
84,84,47.366,129.1,-1,-0.4,1,6,58.75,1
86,86,56.8565,161.35,-1,-0.5,1,6,80.0,3
87,87,59.3525,92.35,-1,-0.5,1,6,10.0,4
88,88,85.534,140.85,-1,-0.5,1,6,57.5,3
89,89,58.7165,95.85,-1,-0.4,1,6,12.5,5
91,91,63.6585,102.85,-1,-0.5,1,6,12.5,1
92,92,75.9075,163.1,-1,-0.4,1,6,68.75,7
93,93,75.3565,106.35,-1,-0.5,1,6,10.0,8
95,95,76.9185,118.1,-1,-0.5,1,6,18.75,9
96,96,93.495,158.85,-1,-0.5,1,6,52.5,5
97,97,108.0325,191.85,-1,-0.5,1,6,77.5,10
98,98,126.045,167.1,-1,-0.4,1,6,48.75,4
99,99,115.234,207.85,-1,-0.5,1,6,72.5,2
100,100,127.8835,210.85,-1,-0.4,1,6,72.5,8
102,102,120.6105,164.35,-1,-0.5,1,6,20.0,8
103,103,116.5765,154.35,-1,-0.5,1,6,10.0,11
104,104,125.7665,201.6,-1,-0.5,1,6,56.25,3
105,105,139.7585,207.35,-1,-0.4,1,6,60.0,8
106,106,140.8235,213.6,-1,-0.4,1,6,61.25,10
107,107,149.7725,244.1,-1,-0.5,1,6,88.75,1
108,108,147.781,197.1,-1,-0.3,1,6,38.75,9
113,113,154.5135,199.1,-1,-0.4,1,6,33.75,10
114,114,176.2805,258.85,-1,-0.3,1,6,87.5,11
115,115,157.3485,198.6,-1,-0.2,1,6,26.25,11
116,116,173.671,284.35,-1,-0.5,1,6,105.0,7
117,117,192.906,369.35,-1,-0.3,1,6,185.0,5
119,119,179.9155,275.85,-1,-0.3,1,6,87.5,4
120,120,173.263,229.6,-1,-0.4,1,6,36.25,2
123,123,193.09,265.1,-1,-0.2,1,6,63.75,5
125,125,193.6425,264.85,-1,-0.6,1,6,57.5,3
126,126,205.2325,250.85,-1,-0.4,1,6,42.5,7
130,130,215.1515,384.1,-1,-0.3,1,6,168.75,4
132,132,210.7255,245.85,-1,-0.3,1,6,27.5,18
134,134,209.7035,280.85,-1,-0.3,1,6,62.5,8
137,137,208.38,241.85,-1,-0.5,1,6,12.5,20
138,138,224.8335,323.1,-1,-0.6,1,6,93.75,9
141,141,225.049,283.35,-1,-0.6,1,6,50.0,1
142,142,214.3125,303.35,-1,-0.5,1,6,70.0,10
144,144,222.559,265.6,-1,-0.6,1,6,21.25,9
145,145,227.9175,277.85,-1,-0.5,1,6,32.5,2
148,148,251.3865,328.35,-1,-0.5,1,6,60.0,11
150,150,259.0715,290.6,-1,-0.3,1,6,11.25,20
152,152,262.6235,328.35,-1,-0.6,1,6,45.0,7
153,153,264.6965,313.6,-1,-0.4,1,6,26.25,1
155,155,273.324,316.85,-1,-0.5,1,6,17.5,2
156,156,275.395,317.6,-1,-0.5,1,6,16.25,11
157,157,340.43,395.6,-1,-0.3,1,6,66.25,1
160,160,321.796,396.85,-1,-0.3,1,6,57.5,9
161,161,0.0,427.371,0,0.0,0,-1,427.371,-1
