index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,427.371,0,0.0,0,-1,427.371,-1
2,2,22.35,52.35,1,0.5,1,6,95.0,1
3,3,25.35,55.35,1,0.5,1,6,51.25,2
4,4,39.35,69.35,1,0.4,1,6,58.75,1
6,6,50.35,80.35,1,0.5,1,6,80.0,3
7,7,51.35,81.35,1,0.5,1,6,10.0,4
8,8,52.35,82.35,1,0.5,1,6,57.5,3
11,11,59.35,89.35,1,0.5,1,6,12.5,1
18,18,87.35,117.35,1,0.4,1,6,48.75,4
19,19,104.35,134.35,1,0.5,1,6,72.5,2
24,24,114.35,144.35,1,0.5,1,6,56.25,3
27,27,124.35,154.35,1,0.5,1,6,88.75,1
39,39,157.35,187.35,1,0.3,1,6,87.5,4
40,40,162.35,192.35,1,0.4,1,6,36.25,2
45,45,176.35,206.35,1,0.6,1,6,57.5,3
50,50,184.35,214.35,1,0.3,1,6,168.75,4
61,61,202.35,232.35,1,0.6,1,6,50.0,1
65,65,214.35,244.35,1,0.5,1,6,32.5,2
73,73,256.35,286.35,1,0.4,1,6,26.25,1
75,75,268.35,298.35,1,0.5,1,6,17.5,2
77,77,298.35,328.35,1,0.3,1,6,66.25,1
82,82,37.639,148.35,-1,-0.5,1,6,95.0,1
83,83,43.17,107.6,-1,-0.5,1,6,51.25,2
84,84,47.366,129.1,-1,-0.4,1,6,58.75,1
86,86,56.8565,161.35,-1,-0.5,1,6,80.0,3
87,87,59.3525,92.35,-1,-0.5,1,6,10.0,4
88,88,85.534,140.85,-1,-0.5,1,6,57.5,3
91,91,63.6585,102.85,-1,-0.5,1,6,12.5,1
98,98,126.045,167.1,-1,-0.4,1,6,48.75,4
99,99,115.234,207.85,-1,-0.5,1,6,72.5,2
104,104,125.7665,201.6,-1,-0.5,1,6,56.25,3
107,107,149.7725,244.1,-1,-0.5,1,6,88.75,1
119,119,179.9155,275.85,-1,-0.3,1,6,87.5,4
120,120,173.263,229.6,-1,-0.4,1,6,36.25,2
125,125,193.6425,264.85,-1,-0.6,1,6,57.5,3
130,130,215.1515,384.1,-1,-0.3,1,6,168.75,4
141,141,225.049,283.35,-1,-0.6,1,6,50.0,1
145,145,227.9175,277.85,-1,-0.5,1,6,32.5,2
153,153,264.6965,313.6,-1,-0.4,1,6,26.25,1
155,155,273.324,316.85,-1,-0.5,1,6,17.5,2
157,157,340.43,395.6,-1,-0.3,1,6,66.25,1
161,161,0.0,427.371,0,0.0,0,-1,427.371,-1
