index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,412.521,0,0.0,0,-1,412.521,-1
6,6,61.771,148.701,1,0.5,1,6,43.75,4
7,7,57.771,161.861,1,0.3,1,6,88.75,5
14,14,74.771,196.1125,1,0.4,1,6,83.75,11
21,21,88.021,227.1075,1,0.5,1,6,112.5,11
24,24,106.3766,234.991,1,0.5,1,6,82.1444,11
25,25,101.521,231.8785,1,0.3,1,6,90.0,5
28,28,125.521,194.346,1,0.4,1,6,10.0,11
29,29,129.771,199.3575,1,0.4,1,6,28.75,5
34,34,134.271,263.9635,1,0.4,1,6,81.25,4
36,36,147.271,225.906,1,0.3,1,6,46.25,11
41,41,180.521,243.1115,1,0.5,1,6,10.0,4
48,48,220.771,296.826,1,0.4,1,6,53.75,4
53,53,231.021,301.938,1,0.6,1,6,17.5,11
63,63,243.771,347.226,1,0.4,1,6,83.75,5
70,70,275.771,351.312,1,0.6,1,6,23.75,5
71,71,274.021,360.095,1,0.3,1,6,32.5,11
80,80,311.271,378.476,1,0.5,1,6,11.25,4
86,86,106.521,166.521,-1,-0.5,1,6,43.75,4
87,87,147.521,207.521,-1,-0.3,1,6,88.75,5
94,94,159.521,219.521,-1,-0.4,1,6,83.75,11
101,101,201.521,261.521,-1,-0.5,1,6,112.5,11
104,104,189.521,249.521,-1,-0.5,1,6,82.1444,11
105,105,192.521,252.521,-1,-0.3,1,6,90.0,5
108,108,136.521,196.521,-1,-0.4,1,6,10.0,11
109,109,159.521,219.521,-1,-0.4,1,6,28.75,5
114,114,216.521,276.521,-1,-0.4,1,6,81.25,4
116,116,194.521,254.521,-1,-0.3,1,6,46.25,11
121,121,191.521,251.521,-1,-0.5,1,6,10.0,4
128,128,275.521,335.521,-1,-0.4,1,6,53.75,4
133,133,249.521,309.521,-1,-0.6,1,6,17.5,11
143,143,328.521,388.521,-1,-0.4,1,6,83.75,5
150,150,300.521,360.521,-1,-0.6,1,6,23.75,5
151,151,307.521,367.521,-1,-0.3,1,6,32.5,11
160,160,323.521,383.521,-1,-0.5,1,6,11.25,4
161,161,0.0,412.521,0,0.0,0,-1,412.521,-1
