index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,540.0,0,0.0,0,-1,540.0,-1
1,1,21.35,66.35,1,0.4,1,6,10.0,0
2,2,22.35,67.35,1,0.5,1,6,95.0,1
4,4,39.35,84.35,1,0.4,1,6,58.75,1
5,5,49.35,94.35,1,0.5,1,6,48.75,0
6,6,50.35,95.35,1,0.5,1,6,80.0,3
7,7,51.35,96.35,1,0.5,1,6,10.0,4
8,8,52.35,97.35,1,0.5,1,6,57.5,3
11,11,59.35,104.35,1,0.5,1,6,12.5,1
12,12,63.35,108.35,1,0.4,1,6,68.75,7
13,13,65.35,110.35,1,0.5,1,6,10.0,8
14,14,67.35,112.35,1,0.5,1,6,53.75,0
18,18,87.35,132.35,1,0.4,1,6,48.75,4
20,20,107.35,152.35,1,0.4,1,6,72.5,8
22,22,113.35,158.35,1,0.5,1,6,20.0,8
23,23,113.35,158.35,1,0.5,1,6,10.0,11
24,24,114.35,159.35,1,0.5,1,6,56.25,3
25,25,116.35,161.35,1,0.4,1,6,60.0,8
27,27,124.35,169.35,1,0.5,1,6,88.75,1
29,29,129.35,174.35,1,0.6,1,6,143.75,0
31,31,132.35,177.35,1,0.2,1,6,45.0,13
34,34,140.35,185.35,1,0.3,1,6,87.5,11
35,35,141.35,186.35,1,0.2,1,6,26.25,11
36,36,148.35,193.35,1,0.5,1,6,105.0,7
39,39,157.35,202.35,1,0.3,1,6,87.5,4
41,41,163.35,208.35,1,0.3,1,6,42.5,0
45,45,176.35,221.35,1,0.6,1,6,57.5,3
46,46,177.35,222.35,1,0.4,1,6,42.5,7
50,50,184.35,229.35,1,0.3,1,6,168.75,4
53,53,187.35,232.35,1,0.3,1,6,97.5,13
54,54,187.35,232.35,1,0.3,1,6,62.5,8
61,61,202.35,247.35,1,0.6,1,6,50.0,1
68,68,237.35,282.35,1,0.5,1,6,60.0,11
72,72,252.35,297.35,1,0.6,1,6,45.0,7
73,73,256.35,301.35,1,0.4,1,6,26.25,1
76,76,270.35,315.35,1,0.5,1,6,16.25,11
77,77,298.35,343.35,1,0.3,1,6,66.25,1
79,79,302.35,347.35,1,0.6,1,6,41.25,13
81,81,24.905,77.35,-1,-0.4,1,6,10.0,0
82,82,37.639,163.35,-1,-0.5,1,6,95.0,1
84,84,47.366,144.1,-1,-0.4,1,6,58.75,1
85,85,83.7635,144.1,-1,-0.5,1,6,48.75,0
86,86,56.8565,176.35,-1,-0.5,1,6,80.0,3
87,87,59.3525,107.35,-1,-0.5,1,6,10.0,4
88,88,85.534,155.85,-1,-0.5,1,6,57.5,3
91,91,63.6585,117.85,-1,-0.5,1,6,12.5,1
92,92,75.9075,178.1,-1,-0.4,1,6,68.75,7
93,93,75.3565,121.35,-1,-0.5,1,6,10.0,8
94,94,71.535,167.1,-1,-0.5,1,6,53.75,0
98,98,126.045,182.1,-1,-0.4,1,6,48.75,4
100,100,127.8835,225.85,-1,-0.4,1,6,72.5,8
102,102,120.6105,179.35,-1,-0.5,1,6,20.0,8
103,103,116.5765,169.35,-1,-0.5,1,6,10.0,11
104,104,125.7665,216.6,-1,-0.5,1,6,56.25,3
105,105,139.7585,222.35,-1,-0.4,1,6,60.0,8
107,107,149.7725,259.1,-1,-0.5,1,6,88.75,1
109,109,162.245,319.1,-1,-0.6,1,6,143.75,0
111,111,162.3625,223.35,-1,-0.2,1,6,45.0,13
114,114,176.2805,273.85,-1,-0.3,1,6,87.5,11
115,115,157.3485,213.6,-1,-0.2,1,6,26.25,11
116,116,173.671,299.35,-1,-0.5,1,6,105.0,7
119,119,179.9155,290.85,-1,-0.3,1,6,87.5,4
121,121,186.2935,251.85,-1,-0.3,1,6,42.5,0
125,125,193.6425,279.85,-1,-0.6,1,6,57.5,3
126,126,205.2325,265.85,-1,-0.4,1,6,42.5,7
130,130,215.1515,399.1,-1,-0.3,1,6,168.75,4
133,133,207.9925,330.85,-1,-0.3,1,6,97.5,13
134,134,209.7035,295.85,-1,-0.3,1,6,62.5,8
141,141,225.049,298.35,-1,-0.6,1,6,50.0,1
148,148,251.3865,343.35,-1,-0.5,1,6,60.0,11
152,152,262.6235,343.35,-1,-0.6,1,6,45.0,7
153,153,264.6965,328.6,-1,-0.4,1,6,26.25,1
156,156,275.395,332.6,-1,-0.5,1,6,16.25,11
157,157,340.43,410.6,-1,-0.3,1,6,66.25,1
159,159,318.5125,389.6,-1,-0.6,1,6,41.25,13
161,161,0.0,540.0,0,0.0,0,-1,540.0,-1
