index,cid,e,l,num,risk,s,c,MAX_L,ShuttleID
0,0,0.0,441.35,0,0.0,0,-1,441.35,-1
1,1,21.35,81.35,1,0.4,1,6,10.0,0
2,2,22.35,82.35,1,0.5,1,6,95.0,1
4,4,39.35,99.35,1,0.4,1,6,58.75,1
5,5,49.35,109.35,1,0.5,1,6,48.75,0
6,6,50.35,110.35,1,0.5,1,6,80.0,3
8,8,52.35,112.35,1,0.5,1,6,57.5,3
11,11,59.35,119.35,1,0.5,1,6,12.5,1
12,12,63.35,123.35,1,0.4,1,6,68.75,7
14,14,67.35,127.35,1,0.5,1,6,53.75,0
15,15,68.35,128.35,1,0.5,1,6,18.75,9
24,24,114.35,174.35,1,0.5,1,6,56.25,3
27,27,124.35,184.35,1,0.5,1,6,88.75,1
28,28,127.35,187.35,1,0.3,1,6,38.75,9
29,29,129.35,189.35,1,0.6,1,6,143.75,0
36,36,148.35,208.35,1,0.5,1,6,105.0,7
41,41,163.35,223.35,1,0.3,1,6,42.5,0
45,45,176.35,236.35,1,0.6,1,6,57.5,3
46,46,177.35,237.35,1,0.4,1,6,42.5,7
58,58,198.35,258.35,1,0.6,1,6,93.75,9
61,61,202.35,262.35,1,0.6,1,6,50.0,1
64,64,213.35,273.35,1,0.6,1,6,21.25,9
72,72,252.35,312.35,1,0.6,1,6,45.0,7
73,73,256.35,316.35,1,0.4,1,6,26.25,1
77,77,298.35,358.35,1,0.3,1,6,66.25,1
80,80,308.35,368.35,1,0.3,1,6,57.5,9
81,81,24.905,92.35,-1,-0.4,1,6,10.0,0
82,82,37.639,178.35,-1,-0.5,1,6,95.0,1
84,84,47.366,159.1,-1,-0.4,1,6,58.75,1
85,85,83.7635,159.1,-1,-0.5,1,6,48.75,0
86,86,56.8565,191.35,-1,-0.5,1,6,80.0,3
88,88,85.534,170.85,-1,-0.5,1,6,57.5,3
91,91,63.6585,132.85,-1,-0.5,1,6,12.5,1
92,92,75.9075,193.1,-1,-0.4,1,6,68.75,7
94,94,71.535,182.1,-1,-0.5,1,6,53.75,0
95,95,76.9185,148.1,-1,-0.5,1,6,18.75,9
104,104,125.7665,231.6,-1,-0.5,1,6,56.25,3
107,107,149.7725,274.1,-1,-0.5,1,6,88.75,1
108,108,147.781,227.1,-1,-0.3,1,6,38.75,9
109,109,162.245,334.1,-1,-0.6,1,6,143.75,0
116,116,173.671,314.35,-1,-0.5,1,6,105.0,7
121,121,186.2935,266.85,-1,-0.3,1,6,42.5,0
125,125,193.6425,294.85,-1,-0.6,1,6,57.5,3
126,126,205.2325,280.85,-1,-0.4,1,6,42.5,7
138,138,224.8335,353.1,-1,-0.6,1,6,93.75,9
141,141,225.049,313.35,-1,-0.6,1,6,50.0,1
144,144,222.559,295.6,-1,-0.6,1,6,21.25,9
152,152,262.6235,358.35,-1,-0.6,1,6,45.0,7
153,153,264.6965,343.6,-1,-0.4,1,6,26.25,1
157,157,340.43,425.6,-1,-0.3,1,6,66.25,1
160,160,321.796,426.85,-1,-0.3,1,6,57.5,9
161,161,0.0,441.35,0,0.0,0,-1,441.35,-1
